"","Case","c","N","n","p","pr","OR","OR.beta","EFF","EFF.null","EFF.true","NV","NV.0","A","A.0","A.null","A.op","A.boot","ATT.true"
"Bias",S2,1.6,1000,392.112,4,0.607,-0.013,-0.071,-0.013,-0.06,-0.003,-0.071,-0.03,-0.044,-0.019,-0.049,-0.017,-0.031,1.28006170784004
"SD.est",S2,1.6,1000,392.112,4,0.607,0.123,0.115,0.144,0.143,0.152,0.172,0.184,0.14,0.142,0.14,0.142,0.144,NA
"SD",S2,1.6,1000,392.112,4,0.607,0.117,0.195,0.117,0.108,0.123,0.195,0.18,0.123,0.116,0.119,0.117,0.122,NA
"Cover.95",S2,1.6,1000,392.112,4,0.607,0.966,0.718,0.982,0.948,0.99,0.878,0.944,0.946,0.978,0.95,0.978,0.964,NA
"Bias",S2,1.6,2000,786.566,4,0.608,-0.012,-0.036,-0.012,-0.038,-0.008,-0.036,-0.021,-0.028,-0.018,-0.032,-0.017,-0.024,1.28006170784004
"SD.est",S2,1.6,2000,786.566,4,0.608,0.087,0.084,0.104,0.109,0.108,0.131,0.137,0.102,0.103,0.102,0.103,0.104,NA
"SD",S2,1.6,2000,786.566,4,0.608,0.083,0.141,0.083,0.078,0.084,0.141,0.134,0.087,0.084,0.087,0.084,0.086,NA
"Cover.95",S2,1.6,2000,786.566,4,0.608,0.962,0.742,0.982,0.976,0.982,0.918,0.958,0.966,0.978,0.962,0.978,0.976,NA
"Bias",S2,1.6,4000,1570.108,4,0.608,-0.005,-0.017,-0.005,-0.02,-0.003,-0.017,-0.012,-0.015,-0.011,-0.018,-0.01,-0.013,1.28006170784004
"SD.est",S2,1.6,4000,1570.108,4,0.608,0.062,0.061,0.076,0.083,0.078,0.101,0.105,0.075,0.075,0.075,0.075,0.075,NA
"SD",S2,1.6,4000,1570.108,4,0.608,0.063,0.106,0.063,0.06,0.065,0.106,0.102,0.062,0.062,0.063,0.062,0.063,NA
"Cover.95",S2,1.6,4000,1570.108,4,0.608,0.944,0.732,0.988,0.976,0.986,0.94,0.946,0.98,0.99,0.98,0.99,0.982,NA
"Bias",S2,1.6,1000,392.398,100,0.607,-0.089,-0.291,-0.089,-0.184,-0.016,-0.291,-0.126,-0.193,-0.097,-0.153,-0.095,-0.116,1.27552499300583
"SD.est",S2,1.6,1000,392.398,100,0.607,0.107,0.093,0.125,0.118,0.144,0.127,0.155,0.116,0.123,0.118,0.123,0.129,NA
"SD",S2,1.6,1000,392.398,100,0.607,0.107,0.188,0.107,0.102,0.122,0.188,0.148,0.132,0.106,0.116,0.106,0.117,NA
"Cover.95",S2,1.6,1000,392.398,100,0.607,0.846,0.314,0.918,0.614,0.974,0.428,0.868,0.61,0.902,0.748,0.902,0.87,NA
"Bias",S2,1.6,2000,782.812,100,0.609,-0.048,-0.159,-0.048,-0.12,-0.01,-0.159,-0.069,-0.099,-0.054,-0.079,-0.053,-0.064,1.27552499300583
"SD.est",S2,1.6,2000,782.812,100,0.609,0.08,0.073,0.094,0.095,0.105,0.103,0.12,0.09,0.093,0.091,0.093,0.096,NA
"SD",S2,1.6,2000,782.812,100,0.609,0.077,0.138,0.077,0.071,0.081,0.138,0.114,0.087,0.076,0.082,0.076,0.079,NA
"Cover.95",S2,1.6,2000,782.812,100,0.609,0.894,0.408,0.946,0.744,0.996,0.61,0.918,0.782,0.942,0.862,0.942,0.922,NA
"Bias",S2,1.6,4000,1570.12,100,0.609,-0.028,-0.093,-0.028,-0.087,-0.005,-0.093,-0.044,-0.051,-0.032,-0.043,-0.031,-0.036,1.27552499300583
"SD.est",S2,1.6,4000,1570.12,100,0.609,0.058,0.055,0.07,0.071,0.075,0.082,0.093,0.068,0.069,0.068,0.069,0.07,NA
"SD",S2,1.6,4000,1570.12,100,0.609,0.059,0.098,0.059,0.059,0.061,0.098,0.09,0.061,0.059,0.06,0.059,0.061,NA
"Cover.95",S2,1.6,4000,1570.12,100,0.609,0.92,0.548,0.952,0.762,0.978,0.742,0.924,0.904,0.944,0.924,0.944,0.94,NA
