"","Case","c","N","n","p","pr","OR","OR.beta","EFF","EFF.null","EFF.true","NV","NV.0","A","A.0","A.null","A.op","A.boot","ATT.true"
"Bias",S3,0.4,1000,404.392,4,0.7,0.001,-0.003,0.001,0.001,0.002,-0.003,-0.002,0.001,0.001,0.001,0.002,-0.001,0.886103433409684
"SD.est",S3,0.4,1000,404.392,4,0.7,0.091,0.091,0.105,0.106,0.106,0.128,0.128,0.105,0.105,0.105,0.105,0.105,NA
"SD",S3,0.4,1000,404.392,4,0.7,0.104,0.13,0.104,0.104,0.104,0.13,0.13,0.104,0.104,0.104,0.104,0.104,NA
"Cover.95",S3,0.4,1000,404.392,4,0.7,0.924,0.83,0.958,0.962,0.962,0.944,0.948,0.958,0.958,0.958,0.958,0.964,NA
"Bias",S3,0.4,2000,808.062,4,0.701,0,0.003,0,0,0,0.003,0.003,0,0,0,0.001,0,0.886103433409684
"SD.est",S3,0.4,2000,808.062,4,0.701,0.065,0.065,0.075,0.075,0.075,0.091,0.091,0.075,0.075,0.075,0.075,0.075,NA
"SD",S3,0.4,2000,808.062,4,0.701,0.073,0.088,0.073,0.072,0.072,0.088,0.088,0.073,0.073,0.073,0.073,0.073,NA
"Cover.95",S3,0.4,2000,808.062,4,0.701,0.938,0.858,0.956,0.958,0.96,0.964,0.966,0.954,0.954,0.956,0.954,0.958,NA
"Bias",S3,0.4,4000,1615.038,4,0.7,0.002,0.003,0.002,0.002,0.002,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.886103433409684
"SD.est",S3,0.4,4000,1615.038,4,0.7,0.046,0.046,0.053,0.053,0.053,0.064,0.064,0.053,0.053,0.053,0.053,0.053,NA
"SD",S3,0.4,4000,1615.038,4,0.7,0.049,0.062,0.049,0.049,0.048,0.062,0.061,0.049,0.049,0.049,0.049,0.049,NA
"Cover.95",S3,0.4,4000,1615.038,4,0.7,0.924,0.844,0.966,0.968,0.97,0.966,0.97,0.968,0.968,0.968,0.968,0.964,NA
"Bias",S3,0.4,1000,404.422,100,0.7,-0.025,0.001,-0.025,-0.02,0.002,0.001,-0.002,-0.023,-0.026,-0.026,-0.025,-0.024,0.888744674975481
"SD.est",S3,0.4,1000,404.422,100,0.7,0.086,0.087,0.098,0.097,0.101,0.116,0.124,0.097,0.097,0.098,0.097,0.098,NA
"SD",S3,0.4,1000,404.422,100,0.7,0.098,0.123,0.098,0.097,0.096,0.123,0.117,0.098,0.099,0.099,0.099,0.099,NA
"Cover.95",S3,0.4,1000,404.422,100,0.7,0.888,0.838,0.94,0.948,0.968,0.942,0.97,0.946,0.932,0.928,0.932,0.938,NA
"Bias",S3,0.4,2000,807.858,100,0.699,-0.012,0,-0.012,-0.009,0.001,0,-0.001,-0.012,-0.012,-0.012,-0.012,-0.012,0.888744674975481
"SD.est",S3,0.4,2000,807.858,100,0.699,0.062,0.063,0.071,0.071,0.073,0.086,0.089,0.071,0.071,0.071,0.071,0.072,NA
"SD",S3,0.4,2000,807.858,100,0.699,0.071,0.086,0.071,0.07,0.068,0.086,0.084,0.07,0.071,0.071,0.071,0.071,NA
"Cover.95",S3,0.4,2000,807.858,100,0.699,0.9,0.842,0.944,0.948,0.964,0.946,0.96,0.95,0.944,0.946,0.944,0.946,NA
"Bias",S3,0.4,4000,1613.32,100,0.7,-0.006,0,-0.006,-0.004,0.002,0,0,-0.006,-0.007,-0.007,-0.006,-0.007,0.888744674975481
"SD.est",S3,0.4,4000,1613.32,100,0.7,0.044,0.045,0.051,0.051,0.052,0.062,0.063,0.051,0.051,0.051,0.051,0.051,NA
"SD",S3,0.4,4000,1613.32,100,0.7,0.049,0.059,0.049,0.049,0.048,0.059,0.058,0.049,0.049,0.049,0.049,0.049,NA
"Cover.95",S3,0.4,4000,1613.32,100,0.7,0.916,0.86,0.956,0.958,0.97,0.968,0.968,0.956,0.956,0.958,0.956,0.956,NA
