"","Case","c","N","n","p","pr","OR","OR.beta","EFF","EFF.null","EFF.true","NV","NV.0","A","A.0","A.null","A.op","A.boot","ATT.true"
"Bias",S1,1.6,1000,392.112,4,0.607,0.006,-0.003,0.006,0.006,0.008,-0.003,-0.001,0.003,0.005,0.004,0.007,-0.004,1.23753379174393
"SD.est",S1,1.6,1000,392.112,4,0.607,0.107,0.107,0.126,0.127,0.129,0.16,0.168,0.125,0.125,0.125,0.125,0.126,NA
"SD",S1,1.6,1000,392.112,4,0.607,0.116,0.182,0.116,0.113,0.116,0.182,0.164,0.119,0.117,0.115,0.117,0.119,NA
"Cover.95",S1,1.6,1000,392.112,4,0.607,0.936,0.774,0.97,0.976,0.97,0.892,0.938,0.96,0.972,0.972,0.972,0.966,NA
"Bias",S1,1.6,2000,786.566,4,0.608,-0.003,0.002,-0.003,-0.003,-0.002,0.002,0.001,-0.003,-0.003,-0.004,-0.003,-0.009,1.23753379174393
"SD.est",S1,1.6,2000,786.566,4,0.608,0.075,0.076,0.09,0.091,0.092,0.119,0.123,0.089,0.089,0.089,0.089,0.09,NA
"SD",S1,1.6,2000,786.566,4,0.608,0.079,0.13,0.079,0.077,0.079,0.13,0.12,0.081,0.079,0.079,0.079,0.08,NA
"Cover.95",S1,1.6,2000,786.566,4,0.608,0.93,0.764,0.972,0.982,0.972,0.928,0.95,0.966,0.966,0.966,0.966,0.966,NA
"Bias",S1,1.6,4000,1570.108,4,0.608,0,0.005,0,0,0,0.005,0.003,0,0,0,0,-0.002,1.23753379174393
"SD.est",S1,1.6,4000,1570.108,4,0.608,0.053,0.054,0.065,0.065,0.065,0.089,0.092,0.064,0.064,0.064,0.064,0.064,NA
"SD",S1,1.6,4000,1570.108,4,0.608,0.06,0.095,0.06,0.059,0.06,0.095,0.09,0.06,0.06,0.06,0.06,0.06,NA
"Cover.95",S1,1.6,4000,1570.108,4,0.608,0.924,0.728,0.954,0.96,0.964,0.94,0.958,0.962,0.966,0.968,0.966,0.962,NA
"Bias",S1,1.6,1000,392.398,100,0.607,-0.035,-0.115,-0.035,-0.018,0.003,-0.115,-0.077,-0.068,-0.041,-0.047,-0.039,-0.059,1.23333585850436
"SD.est",S1,1.6,1000,392.398,100,0.607,0.1,0.098,0.114,0.115,0.122,0.125,0.144,0.111,0.113,0.112,0.113,0.116,NA
"SD",S1,1.6,1000,392.398,100,0.607,0.109,0.174,0.109,0.105,0.107,0.174,0.145,0.116,0.108,0.108,0.109,0.111,NA
"Cover.95",S1,1.6,1000,392.398,100,0.607,0.904,0.634,0.936,0.95,0.976,0.746,0.906,0.878,0.932,0.922,0.934,0.92,NA
"Bias",S1,1.6,2000,782.812,100,0.609,-0.021,-0.061,-0.021,-0.011,0.001,-0.061,-0.039,-0.035,-0.023,-0.026,-0.022,-0.032,1.23333585850436
"SD.est",S1,1.6,2000,782.812,100,0.609,0.072,0.071,0.083,0.084,0.089,0.097,0.109,0.082,0.083,0.083,0.083,0.084,NA
"SD",S1,1.6,2000,782.812,100,0.609,0.077,0.132,0.077,0.075,0.076,0.132,0.109,0.08,0.077,0.076,0.077,0.077,NA
"Cover.95",S1,1.6,2000,782.812,100,0.609,0.918,0.654,0.952,0.962,0.972,0.788,0.92,0.934,0.952,0.946,0.952,0.948,NA
"Bias",S1,1.6,4000,1570.12,100,0.609,-0.009,-0.025,-0.009,-0.003,0.003,-0.025,-0.015,-0.013,-0.009,-0.01,-0.009,-0.013,1.23333585850436
"SD.est",S1,1.6,4000,1570.12,100,0.609,0.051,0.051,0.06,0.061,0.063,0.075,0.083,0.06,0.06,0.06,0.06,0.061,NA
"SD",S1,1.6,4000,1570.12,100,0.609,0.057,0.092,0.057,0.055,0.055,0.092,0.082,0.058,0.057,0.057,0.057,0.058,NA
"Cover.95",S1,1.6,4000,1570.12,100,0.609,0.91,0.72,0.958,0.964,0.966,0.862,0.94,0.952,0.96,0.958,0.96,0.956,NA
